fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,,6
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,,0.52,,5
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,,0.53,9.5,5
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,,5
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,,0.7,9.4,5
,1.33,0.0,,0.081,3.0,12.0,0.9964,,0.49,10.9,5
1.33,8.1,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48,10.9,5
8.0,0.59,0.16,180.0,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,7
6.1,0.38,0.15,,0.072,6.0,19.0,0.9955,3.42,0.57,,5
8.0,0.745,0.56,,0.118,30.0,134.0,0.9968,3.24,0.66,,5
,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5
6.6,0.5,unknown,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,6
,1.04,0.05,,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,6
0.745,8.4,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,,5
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5
null,0.415,0.36,,0.081,13.0,45.0,0.9972,3.48,0.64,,5
,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,5
7.8,0.56,0.19,,0.081,17.0,108.0,0.9962,3.32,0.54,,5
,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5
,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5
,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,,0.79,,6
,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,,5
N/A,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,,0.79,14.0,6
,0.67,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62,,5
5.8,0.68,0.02,,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,5
7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3,5
,???,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,6
,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,,6
,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,6
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,4
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,,0.54,10.1,5
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5
7.1,0.43,0.42,,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5
7.1,0.43,0.42,,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5
,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,,0.72,10.5,5
,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,-9.155994959493325,5
7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,5
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,6
,n/a,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,,5
,0.68,0.02,,0.072,9.0,20.0,0.9965,3.17,1.08,9.2,4
,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,6
7.4,0.6,0.26,7.3,0.07,36.0,121.0,0.9982,3.37,0.49,9.4,5
7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,5
7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,5
NA,0.64,0.1,,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,5
7.3,0.55,0.03,,0.072,17.0,42.0,0.9956,3.37,0.48,9.0,4
6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,,0.55,10.4,6
7.5,0.705,0.24,1.8,0.36,15.0,63.0,0.9964,3.0,1.59,9.5,5
7.9,0.885,NA,1.8,0.058,4.0,8.0,0.9972,,0.33,9.1,4
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,6
8.0,0.42,0.17,,0.073,6.0,18.0,0.9972,3.29,0.61,,6
7.4,0.62,0.05,,0.068,24.0,42.0,0.9961,,0.57,,6
,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,2.4860767767919065,0.47,9.5,5
6.9,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,,0.78,9.5,5
7.3,N/A,0.21,2.0,0.08,7.0,35.0,0.9961,,0.47,,5
,0.52,0.42,2.3,0.087,8.0,38.0,0.9972,3.58,0.61,10.5,6
7.0,0.805,null,,0.068,7.0,20.0,0.9969,3.48,0.56,9.6,5
,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,,0.59,9.5,5
8.9,0.61,0.49,,0.27,23.0,110.0,0.9972,,1.02,,5
7.2,0.73,0.02,2.5,0.076,16.0,42.0,0.9972,3.44,0.52,,5
6.8,0.61,0.2,1.8,0.077,11.0,65.0,0.9971,3.54,0.58,,5
6.7,0.62,##,,0.079,8.0,62.0,0.997,,0.58,9.3,6
,0.31,unknown,2.0,0.111,26.0,85.0,0.9971,3.26,0.53,9.7,5
???,0.39,0.48,2.0,0.082,14.0,67.0,0.9972,3.34,0.55,9.2,5
7.7,0.705,0.1,,0.084,9.0,26.0,0.9976,,0.49,,5
,0.5,0.33,,0.084,15.0,143.0,0.9968,,0.55,9.5,5
unknown,0.49,0.32,,0.082,17.0,144.0,0.9968,,0.55,9.5,5
8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.9976,3.23,0.62,9.4,5
6.4,0.37,0.25,,0.074,21.0,49.0,0.9974,3.57,0.62,9.8,6
6.8,0.63,0.12,3.8,0.099,16.0,126.0,0.9969,,0.61,9.5,5
7.6,0.55,0.21,,0.071,7.0,28.0,0.9964,3.28,0.55,,5
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,,5
,0.59,0.33,2.0,0.074,24.0,120.0,0.9968,3.25,0.54,9.4,5
7.3,0.58,0.3,2.4,0.074,15.0,55.0,0.9968,3.46,0.59,10.2,5
11.5,0.3,0.6,,0.067,12.0,27.0,0.9981,,0.97,10.1,6
,N/A,0.08,1.2,0.046,13.0,93.0,0.9924,3.57,0.85,13.0,7
6.9,1.09,0.06,2.1,0.061,12.0,31.0,0.9948,3.51,0.43,,4
9.6,0.32,0.47,1.4,0.056,9.0,24.0,0.99695,3.22,0.82,10.3,7
-,0.37,0.48,,0.097,39.0,145.0,0.9975,3.04,1.03,9.3,5
6.8,0.5,0.11,,0.075,16.0,49.0,0.99545,3.36,0.79,9.5,5
7.0,0.42,0.35,1.6,0.088,16.0,39.0,0.9961,3.34,0.55,9.2,5
7.0,0.43,0.36,,0.089,14.0,37.0,0.99615,3.34,0.56,9.2,6
12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,10.8,7
12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,,7
7.8,##,0.31,1.8,0.069,26.0,120.0,0.99625,,0.53,9.3,5
,0.44,0.28,,0.1,18.0,95.0,0.9966,3.22,0.67,,5
11.0,0.3,0.58,2.1,0.054,7.0,19.0,0.998,,0.88,10.5,7
9.7,0.53,0.6,,0.039,5.0,19.0,0.99585,3.3,0.86,12.4,6
NA,0.725,0.24,280.0,0.083,10.0,62.0,0.99685,3.35,0.56,10.0,6
11.6,0.44,0.64,,0.059,5.0,15.0,0.998,3.21,0.67,10.2,6
8.2,0.57,0.26,,0.06,28.0,65.0,0.9959,3.3,0.43,10.1,5
7.8,0.735,0.08,2.4,0.092,10.0,41.0,0.9974,3.24,0.71,9.8,6
,##,0.49,5.6,0.06,26.0,121.0,0.9974,3.34,0.76,,5
8.7,0.625,0.16,,0.101,13.0,49.0,0.9962,3.14,0.57,11.0,5
8.1,0.725,0.22,2.2,0.072,11.0,41.0,0.9967,3.36,0.55,9.1,5
7.5,0.49,0.19,1.9,0.076,10.0,44.0,0.9957,3.39,0.54,9.7,5
,0.53,0.33,,0.08,24.0,144.0,0.99655,3.3,0.6,9.5,5
7.8,0.34,0.37,2.0,0.082,24.0,58.0,0.9964,3.34,0.59,9.4,6
7.4,0.53,0.26,2.0,0.101,16.0,72.0,0.9957,,0.57,,5
6.8,0.61,0.04,,0.057,5.0,10.0,0.99525,3.42,0.6,,5
N/A,0.645,0.25,2.0,0.083,8.0,28.0,0.99815,3.28,0.6,10.0,6
-,0.635,0.36,,0.089,15.0,55.0,0.99745,3.31,0.57,,4
7.7,0.43,0.25,2.6,0.073,29.0,63.0,0.99615,3.37,0.58,,6
,0.59,0.5,2.0,0.337,27.0,81.0,0.9964,,1.61,9.5,6
9.0,0.82,0.14,,0.089,9.0,23.0,0.9984,3.39,0.63,9.8,5
7.7,0.43,0.25,2.6,0.073,29.0,63.0,0.99615,,0.58,10.5,6
6.9,0.52,0.25,2.6,0.081,10.0,37.0,0.99685,3.46,0.5,11.0,5
,0.48,0.04,,0.054,19.0,106.0,0.9927,3.54,0.62,,7
8.0,0.38,0.06,,0.078,12.0,49.0,0.99625,,0.52,9.9,6
8.5,0.37,0.2,2.8,0.09,18.0,58.0,0.998,,0.7,9.6,6
6.9,0.52,0.25,2.6,0.081,10.0,37.0,0.99685,3.46,0.5,,5
,1.0,0.09,2.3,0.065,7.0,37.0,0.99685,3.32,0.55,,6
0.63,7.2,0.0,1.9,0.097,14.0,38.0,0.99675,3.37,0.58,9.0,6
7.2,0.63,0.0,1.9,0.097,14.0,38.0,0.99675,,0.58,9.0,6
7.2,0.645,0.0,1.9,0.097,15.0,39.0,0.99675,3.37,0.58,,6
7.2,0.63,0.0,1.9,0.097,14.0,38.0,0.99675,3.37,0.58,9.0,6
8.2,1.0,0.09,2.3,0.065,7.0,37.0,0.99685,,0.55,9.0,6
8.9,0.635,0.37,1.7,0.263,5.0,62.0,0.9971,,1.09,,5
12.0,0.38,0.56,,0.093,6.0,24.0,0.99925,3.14,0.71,10.9,6
7.7,0.58,0.1,1.8,0.102,28.0,109.0,0.99565,3.08,0.49,,6
0.21,,0.44,2.2,0.075,10.0,24.0,1.00005,0.8853452002865518,0.84,9.2,7
15.0,0.21,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84,9.2,7
7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,,0.96,9.9,6
7.1,0.68,0.07,1.9,0.075,16.0,51.0,0.99685,,0.52,,5
8.2,n/a,0.17,2.3,0.072,11.0,73.0,0.9963,3.2,0.45,9.3,5
7.7,???,0.06,,0.074,9.0,39.0,0.99615,3.35,0.48,9.8,6
7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,9.9,6
10.8,0.32,0.44,1.6,0.063,16.0,37.0,0.9985,3.22,0.78,,6
7.1,-,0.0,1.8,0.074,16.0,34.0,0.9972,3.47,0.7,9.9,6
11.1,0.35,0.48,3.1,0.09,5.0,21.0,0.9986,3.17,0.53,10.5,5
,0.775,0.42,,0.092,8.0,86.0,0.9959,3.23,0.59,9.5,5
7.1,0.6,0.0,1.8,0.074,16.0,34.0,0.9972,3.47,0.7,9.9,6
8.0,0.57,0.23,,0.073,17.0,119.0,0.99675,,0.57,,5
9.4,0.34,0.37,2.2,0.075,5.0,13.0,0.998,3.22,0.62,9.2,5
,0.695,0.0,2.1,0.075,12.0,56.0,0.9968,3.49,0.67,9.2,5
,0.41,0.76,1.8,0.611,8.0,45.0,0.9968,3.06,1.26,,5
10.0,null,0.0047,2.6,0.085,14.0,33.0,0.99965,3.36,0.8,10.5,7
,0.33,0.23,1.7,0.077,18.0,45.0,0.99625,4.259990601183038,0.65,9.3,5
7.0,0.975,0.04,,0.087,12.0,67.0,0.99565,3.35,0.6,,4
8.0,0.52,0.03,1.7,0.07,10.0,35.0,0.99575,3.34,0.57,,5
NA,0.37,0.23,,0.077,23.0,49.0,0.9963,3.28,0.67,16.90769307075262,5
,0.56,0.49,,0.064,5.0,27.0,0.9999,3.08,0.87,,5
11.8,0.26,0.52,1.8,0.071,6.0,10.0,0.9968,3.2,0.72,,7
8.1,0.87,0.0,3.3,0.096,26.0,61.0,1.00025,,0.72,9.8,4
NA,0.35,0.46,3.6,0.078,15.0,37.0,0.9973,3.35,0.86,,8
6.9,0.54,0.04,,0.077,7.0,27.0,0.9987,3.69,0.91,9.4,6
11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,,0.97,10.1,6
##,0.545,0.06,,0.087,27.0,61.0,0.9965,3.36,0.67,,6
,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,10.1,6
0.37,10.9,0.58,4.0,0.071,17.0,65.0,0.99935,3.22,0.78,,5
8.4,0.715,0.2,,0.076,10.0,38.0,0.99735,3.31,0.64,9.4,5
,0.65,0.18,7.0,0.088,27.0,94.0,0.99915,3.38,0.77,9.4,5
7.9,0.545,0.06,,0.087,27.0,61.0,0.9965,3.36,0.67,10.7,6
6.9,0.54,0.04,3.0,0.077,7.0,27.0,0.9987,3.69,0.91,9.4,6
,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,10.1,6
10.3,0.32,0.45,,0.073,5.0,13.0,0.9976,,0.82,12.6,8
8.9,0.4,0.32,,0.087,10.0,47.0,0.9991,,0.77,10.5,7
11.4,0.26,0.44,3.6,0.071,6.0,19.0,0.9986,,0.82,9.3,6
7.7,0.27,0.68,3.5,0.358,5.0,10.0,0.9972,,1.08,,7
,0.52,0.12,3.0,0.067,12.0,53.0,0.9971,3.36,0.57,,5
,0.4,0.32,5.6,0.087,10.0,47.0,0.9991,3.38,0.77,10.5,7
9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,,5
unknown,0.59,7.000000000000001,3.4,0.102,32.0,71.0,1.00015,,0.71,,5
n/a,0.45,0.55,2.0,0.073,25.0,49.0,0.9997,3.1,0.76,,6
7.5,0.4,0.12,,0.092,29.0,53.0,0.9967,,0.7,10.3,6
8.7,0.52,0.09,2.5,0.091,20.0,49.0,0.9976,3.34,0.86,10.6,7
,0.42,0.53,3.3,0.105,33.0,98.0,1.001,3.2,0.95,9.2,5
,0.52,0.09,2.5,0.091,20.0,49.0,0.9976,3.34,0.86,,7
11.0,0.2,0.48,2.0,0.343,6.0,18.0,0.9979,3.3,0.71,10.5,5
10.4,0.55,0.23,,0.091,18.0,48.0,0.9994,,0.64,10.3,6
6.9,0.36,0.25,,0.098,5.0,16.0,0.9964,3.41,0.6,10.1,6
13.3,0.34,0.52,3.2,0.094,17.0,53.0,1.0014,3.05,0.81,9.5,6
,0.5,0.46,2.5,0.073,5.0,27.0,1.0001,3.05,0.64,,5
10.6,0.83,0.37,,0.086,26.0,70.0,0.9981,3.16,0.52,9.9,5
7.1,0.63,0.06,2.0,0.083,8.0,29.0,0.99855,3.67,0.73,9.6,5
7.2,0.65,2.0,2.3,0.094,5.0,31.0,0.9993,3.67,0.8,9.7,5
,0.67,0.06,2.1,0.08,8.0,33.0,0.99845,3.68,0.71,,5
7.5,0.53,0.06,,0.086,20.0,44.0,0.9965,,0.59,10.7,6
11.1,0.18,0.48,1.5,0.068,7.0,15.0,0.9973,3.22,0.64,,6
8.3,0.705,0.12,2.6,0.092,12.0,28.0,0.9994,3.51,0.72,10.0,5
,0.67,0.12,,0.186,5.0,21.0,0.996,3.39,0.54,9.5,5
,0.65,0.6,,0.112,12.0,90.0,0.9973,3.2,0.52,9.2,5
10.3,0.53,0.48,2.5,0.063,6.0,25.0,0.9998,3.12,0.59,9.3,6
7.6,N/A,unknown,2.2,0.082,7.0,54.0,0.9966,3.36,0.52,9.4,5
,0.41,0.42,2.4,0.213,6.0,14.0,0.9994,,0.62,,6
10.3,0.43,0.44,2.4,0.214,5.0,12.0,0.9994,3.19,0.63,9.5,6
,0.29,0.38,,0.062,9.0,30.0,0.9968,3.41,0.53,9.5,6
10.3,0.53,0.0048,2.5,0.063,6.0,25.0,0.9998,3.12,0.59,,6
,0.53,0.24,,0.072,15.0,105.0,0.996,,0.54,,6
,0.46,0.31,,0.093,19.0,98.0,0.99815,3.32,0.63,9.5,6
8.6,0.47,0.3,3.0,0.076,30.0,135.0,0.9976,3.3,0.53,9.4,5
,0.36,0.29,,0.087,26.0,72.0,0.99645,2.0562602395587697,0.68,11.0,5
7.1,0.35,0.29,,0.096,20.0,53.0,0.9962,3.42,0.65,,6
9.6,0.56,0.23,,0.102,37.0,92.0,0.9996,3.3,0.65,10.1,5
9.6,0.77,0.12,2.9,0.082,30.0,74.0,0.99865,3.3,0.64,10.4,6
